country,province,area_id,latitude,longitude,population,lockdown,colour
Malawi,,166,-13.254308000000000,34.301525,66559386,,#ca9502
Malaysia,,167,4.210484,101.975766,32732760,,#8e9088
Maldives,,168,3.2028,73.2207,374775,,#595762
Mali,,169,17.570692,-3.996166,19973000,,#8a8890
Malta,,170,35.9375,14.3754,493559,,#004f2b
Mauritania,,171,21.0079,-10.9408,4077347,,#283823
Mauritius,,172,-20.348404,57.552152,1265985,,#b76e79
Mexico,,173,23.6345,-102.5528,126577691,,#f2ccc2
Moldova,,174,47.4116,28.3699,2681735,,#f2ccc2
Monaco,,175,43.7333,7.4167,38300,,#c2a4c2
Mongolia,,176,46.8625,103.8467,3309771,,#011c3b
Montenegro,,177,42.708678,19.37439,622359,,#8400ff
Morocco,,178,31.7917,-7.0926,35851881,,#ff8f43
Mozambique,,179,-18.665695,35.529562,30066648,,#ff9797
Myanmar,,180,21.9162,95.956,54339766,,#de2f51
Namibia,,181,-22.9576,18.4904,2458936,,#42284b
Nepal,,182,28.1667,84.25,29996478,,#779c74
Netherlands,Aruba,183,12.5211,-69.9683,112309,,#00ffab
Netherlands,"Bonaire, Sint Eustatius and Saba",184,12.1784,-68.2385,25157,,#244c66
Netherlands,Curacao,185,12.1696,-68.99,158665,,#204c39
Netherlands,Sint Maarten,186,18.0425,-63.0548,40614,,#295f48
Netherlands,,187,52.3167,5.55,17449281,,#ae1c28
New Zealand,,188,-40.9006,174.886,4973732,,#702963
Nicaragua,,189,12.865416,-85.207229,6460411,,#00ecff
Niger,,190,17.607789,8.081666,22314743,,#a9eede
Nigeria,,191,9.082,8.6753,206139587,,#a78cde
North Macedonia,,192,41.6086,21.7453,2077132,,#ffd700
Norway,,193,60.472,8.4689,5367580,,#bc0c1a
Oman,,194,21.512583,55.92325500000000,4664790,,#ee2c2c
Other,Cruise ships etc,195,0.0,0.0,0,,#104e8b
Pakistan,,196,30.3753,69.3451,219093520,,#444952
Panama,,197,8.538,-80.7821,4218808,,#c4b49a
Papua New Guinea,,198,-6.314993,143.95555,8935000,,#29105a
Paraguay,,199,-23.4425,-58.4438,7152703,,#076d9f
Peru,,200,-9.19,-75.0152,32131400,,#c0c0c0
Philippines,,201,12.879721,121.774017,108464476,,#cec8c1
Poland,,202,51.9194,19.1451,38386000,,#ebe20a
Portugal,,203,39.3999,-8.2245,10276617,,#03e0a0
Qatar,,204,25.3548,51.1839,2747282,,#ffce00
Romania,,205,45.9432,24.9668,19405156,,#98ff98
Russia,,206,61.524,105.3188,146745098,,#b23c4e
Rwanda,,207,-1.9403,29.8739,12374397,,#b76e79
Saint Kitts and Nevis,,208,17.357822,-62.782998,52823,,#ca9502
Saint Lucia,,209,13.9094,-60.9789,178696,,#8e9088
Saint Vincent and the Grenadines,,210,12.9843,-61.2872,110608,,#595762
San Marino,,211,43.9424,12.4578,33574,,#8a8890
Saudi Arabia,,212,23.885942,45.079162,34218169,,#004f2b
Senegal,,213,14.4974,-14.4524,16209125,,#283823
Serbia,,214,44.0165,21.0059,6963764,,#b76e79
Seychelles,,215,-4.6796,55.492,97625,,#f2ccc2
Sierra Leone,,216,8.460555000000000,-11.779889,7976985,,#f2ccc2
Singapore,,217,1.2833,103.8333,5703600,,#c2a4c2
Slovakia,,218,48.669,19.699,5456362,,#011c3b
Slovenia,,219,46.1512,14.9955,2094060,,#8400ff
Somalia,,220,5.152149,46.199616,15893219,,#ff8f43
South Africa,,221,-30.5595,22.9375,58775022,,#ff9797
South Korea,,222,35.90775700000000,127.766922,51780579,,#de2f51
Spain,,223,40.463667,-3.74922,47100396,2020-03-28,#ffc400
Sri Lanka,,224,7.873054,80.77179700000000,21803000,,#779c74
Sudan,,225,12.8628,30.2176,42379965,,#00ffab
Suriname,,226,3.9193,-56.0278,581372,,#244c66
Sweden,,227,60.1282,18.6435,10333456,,#204c39
Switzerland,,228,46.8182,8.2275,8586550,2020-03-18,#295f48
Syria,,229,34.802075,38.99681500000000,17500657,,#18392b
Taiwan,,230,23.7,121.0,23604265,,#702963
Tanzania,,231,-6.369028,34.888822,55890747,,#00ecff
Thailand,,232,15.870032,100.992541,66486667,,#a9eede
Timor-Leste,,233,-8.874217,125.727539,1387149,,#a78cde
Togo,,234,8.6195,0.8248,7538000,,#ffd700
Trinidad and Tobago,,235,10.6918,-61.2225,1363985,,#bc0c1a
Tunisia,,236,33.886917,9.537499,11722038,,#ee2c2c
Turkey,,237,38.9637,35.2433,83154997,,#104e8b
Uganda,,238,1.373333,32.290275,40299300,,#444952
Ukraine,,239,48.3794,31.1656,41879904,,#c4b49a
United Arab Emirates,,240,23.424076,53.847818,9890400,,#29105a
United Kingdom,Anguilla,241,18.2206,-63.0686,14869,,#5818b1
United Kingdom,Bermuda,242,32.3078,-64.7505,62506,,#5818b1
United Kingdom,Cayman Islands,243,19.3133,-81.2546,68076,,#5818b1
United Kingdom,Channel Islands,244,49.3723,-2.3644,170499,,#5818b1
United Kingdom,England,245,54,-2.0,55977178,2020-03-24,#ff0000
United Kingdom,Gibraltar,246,36.1408,-5.3536,33701,,#5818b1
United Kingdom,Isle of Man,247,54.2361,-4.5481,83314,,#5818b1
United Kingdom,Montserrat,248,16.7425,-62.1874,5215,,#5818b1
United Kingdom,Northern Ireland,249,54.667775,-6.8021751,1885400,2020-03-24,#45148a
United Kingdom,Scotland,250,55.95,-3.2,5424800,2020-03-24,#004400
United Kingdom,Turks and Caicos Islands,251,21.694,-71.7979,38191,,#5818b1
United Kingdom,Virgin Islands,252,18.4207,-64.64,31758,,#5818b1
